id,name,sex,age,height,weight,country,year,season,sport,event,medal,athletes,totalmedals,topathletes
1500,Kurt Harold Ainsworth,M,22,187.0,84.0,United States,2000,Summer,Baseball,Baseball Men's Baseball,Gold,1124,1,1
1534,Brett Aitken,M,29,173.0,65.0,Australia,2000,Summer,Cycling,Cycling Men's Madison,Gold,1124,1,1
1540,Artur Surenovych Aivazian,M,35,177.0,88.0,Ukraine,2008,Summer,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Gold,1116,1,1
1546,Eirini Andili,F,17,167.0,45.0,Greece,2000,Summer,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Bronze,880,1,0
1551,"Oluwafemi ""Junior"" Ajayi",M,20,172.0,79.0,Nigeria,2016,Summer,Football,Football Men's Football,Bronze,1054,1,0
1554,Omar Ajete Iglesias,M,35,175.0,93.0,Cuba,2000,Summer,Baseball,Baseball Men's Baseball,Silver,1124,1,0
1556,"Ebenezer Oluwafemi ""Femi"" Ajilore",M,23,185.0,75.0,Nigeria,2008,Summer,Football,Football Men's Football,Silver,1116,1,0
1561,Mobolade Abimbola Ajomale,M,20,180.0,62.0,Canada,2016,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze,1054,1,0
1634,Taha Akgl,M,25,192.0,125.0,Turkey,2016,Summer,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",Gold,1054,1,1
1647,Murodzhon Kakharovich Akhmadaliyev,M,21,165.0,56.0,Uzbekistan,2016,Summer,Boxing,Boxing Men's Bantamweight,Bronze,1054,1,0
1649,Artur Kamilevich Akhmatkhuzin,M,28,187.0,79.0,Russia,2016,Summer,Fencing,"Fencing Men's Foil, Team",Gold,1054,1,1
1650,Bakhtiyar Shakhabutdinovich Akhmedov,M,21,190.0,120.0,Russia,2008,Summer,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",Silver,1116,1,0
1682,Morolake Akinosun,F,22,163.0,61.0,United States,2016,Summer,Athletics,Athletics Women's 4 x 100 metres Relay,Gold,969,1,1
1683,Foluke Antinuke Akinradewo,F,24,191.0,79.0,United States,2012,Summer,Volleyball,Volleyball Women's Volleyball,Silver,918,1,0
1683,Foluke Antinuke Akinradewo,F,28,191.0,79.0,United States,2016,Summer,Volleyball,Volleyball Women's Volleyball,Bronze,969,1,0
1698,Khadzhimurat Magomedovich Akkayev,M,19,178.0,105.0,Russia,2004,Summer,Weightlifting,Weightlifting Men's Middle-Heavyweight,Silver,1103,1,0
1698,Khadzhimurat Magomedovich Akkayev,M,23,178.0,105.0,Russia,2008,Summer,Weightlifting,Weightlifting Men's Middle-Heavyweight,Bronze,1116,1,0
1700,Marina Dazmirovna Akobiya,F,25,165.0,57.0,Russia,2000,Summer,Water Polo,Water Polo Women's Water Polo,Bronze,880,1,0
1716,Daniel Akpeyi,M,30,187.0,80.0,Nigeria,2016,Summer,Football,Football Men's Football,Bronze,1054,1,0
1730,Monica Aksamit,F,26,183.0,74.0,United States,2016,Summer,Fencing,"Fencing Women's Sabre, Team",Bronze,969,1,0
1762,Naser Al Shami,M,22,187.0,81.0,Syria,2004,Summer,Boxing,Boxing Men's Heavyweight,Bronze,1103,1,0
1809,Nasser Salih Nasser Abdullah Al-Attiya,M,41,178.0,82.0,Qatar,2012,Summer,Shooting,Shooting Men's Skeet,Bronze,1023,1,0
1858,Fehaid Al-Deehani,M,33,178.0,95.0,Kuwait,2000,Summer,Shooting,Shooting Men's Double Trap,Bronze,1124,1,1
1858,Fehaid Al-Deehani,M,45,178.0,95.0,Kuwait,2012,Summer,Shooting,Shooting Men's Trap,Bronze,1023,1,1
1858,Fehaid Al-Deehani,M,49,178.0,95.0,Individual Olympic Athletes,2016,Summer,Shooting,Shooting Men's Double Trap,Gold,1054,1,1
1885,Ramzy Al-Duhami,M,40,162.0,70.0,Saudi Arabia,2012,Summer,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze,1023,1,0
1889,Khaled Al-Eid,M,31,175.0,57.0,Saudi Arabia,2000,Summer,Equestrianism,"Equestrianism Mixed Jumping, Individual",Bronze,1124,1,0
2025,Ahmed bin Hasher Al-Maktoum,M,40,175.0,67.0,United Arab Emirates,2004,Summer,Shooting,Shooting Men's Double Trap,Gold,1103,1,1
2112,Abdullah Al-Rashidi,M,52,183.0,83.0,Individual Olympic Athletes,2016,Summer,Shooting,Shooting Men's Skeet,Bronze,1054,1,0
2134,Prince Abdullah Bin Moteb Al-Saud,M,27,178.0,69.0,Saudi Arabia,2012,Summer,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze,1023,1,0
2170,Hadi Soua'an Al-Somaily Jaadan,M,23,191.0,72.0,Saudi Arabia,2000,Summer,Athletics,Athletics Men's 400 metres Hurdles,Silver,1124,1,0
2210,Marina Alabau Neira,F,26,164.0,55.0,Spain,2012,Summer,Sailing,Sailing Women's Windsurfer,Gold,918,1,1
2306,Ruslan Vladimirovich Albegov,M,24,192.0,156.0,Russia,2012,Summer,Weightlifting,Weightlifting Men's Super-Heavyweight,Bronze,1023,1,0
2307,David Albelda Aliqus,M,23,182.0,75.0,Spain,2000,Summer,Football,Football Men's Football,Silver,1124,1,0
2342,Nely Carla Alberto Francisca,F,29,179.0,90.0,Spain,2012,Summer,Handball,Handball Women's Handball,Bronze,918,1,0
2359,Islam-Beka Said-Tsilimovich Albiyev,M,19,165.0,66.0,Russia,2008,Summer,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",Gold,1116,1,1
2458,David Alegre Biosca,M,23,184.0,75.0,Spain,2008,Summer,Hockey,Hockey Men's Hockey,Silver,1116,1,0
2460,Ramn Alegre Biosca,M,27,171.0,71.0,Spain,2008,Summer,Hockey,Hockey Men's Hockey,Silver,1116,1,0
2464,Jo Qesem Ayela Aleh,F,26,171.0,58.0,New Zealand,2012,Summer,Sailing,Sailing Women's Two Person Dinghy,Gold,918,1,1
2464,Jo Qesem Ayela Aleh,F,30,171.0,58.0,New Zealand,2016,Summer,Sailing,Sailing Women's Two Person Dinghy,Silver,969,1,1
2469,Virgilijus Alekna,M,28,200.0,130.0,Lithuania,2000,Summer,Athletics,Athletics Men's Discus Throw,Gold,1124,1,2
2469,Virgilijus Alekna,M,32,200.0,130.0,Lithuania,2004,Summer,Athletics,Athletics Men's Discus Throw,Gold,1103,1,2
